順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.165651	121.289339	2952.0	gpx		2021-09-06T22:01:09+00:00
2(start)	24.165650	121.289340	2952.0	comm	start	2021-09-06T22:01:10.075536667+00:00
3	24.166540	121.289139	2979.7	gpx		2021-09-06T22:12:42+00:00
4	24.166917	121.289238	2983.5	gpx		2021-09-06T22:15:00+00:00
5	24.167469	121.288754	2993.3	gpx		2021-09-06T22:19:38+00:00
6	24.168670	121.288427	3027.8	gpx		2021-09-06T22:24:15+00:00
7	24.169001	121.288086	3045.9	gpx		2021-09-06T22:28:52+00:00
8	24.169005	121.287904	3055.3	gpx		2021-09-06T22:32:20+00:00
9	24.169466	121.287987	3063.7	gpx		2021-09-06T22:35:48+00:00
10	24.170751	121.287875	3092.3	gpx		2021-09-06T22:46:11+00:00
11	24.171190	121.287803	3108.6	gpx		2021-09-06T22:48:30+00:00
12	24.171968	121.287451	3134.8	gpx		2021-09-06T22:49:39+00:00
13	24.172525	121.287903	3159.7	gpx		2021-09-06T22:54:43+00:00
14	24.172516	121.287636	3161.0	gpx		2021-09-06T23:01:58+00:00
15(comm)	24.173100	121.287500	3182.3	comm	comm	2021-09-06T23:05:52.431087687+00:00
16	24.173280	121.287466	3188.8	gpx		2021-09-06T23:07:04+00:00
17	24.174406	121.286807	3224.9	gpx		2021-09-06T23:15:33+00:00
18	24.175012	121.286699	3245.8	gpx		2021-09-06T23:18:57+00:00
19	24.175576	121.286189	3267.8	gpx		2021-09-06T23:24:03+00:00
20	24.176201	121.285871	3289.1	gpx		2021-09-06T23:28:25+00:00
21	24.176706	121.285896	3289.8	gpx		2021-09-06T23:29:22+00:00
22	24.177717	121.286206	3307.8	gpx		2021-09-06T23:35:08+00:00
23	24.178214	121.285702	3324.3	gpx		2021-09-06T23:39:23+00:00
24	24.178889	121.285360	3330.6	gpx		2021-09-06T23:40:41+00:00
25	24.181536	121.282842	3360.6	gpx		2021-09-06T23:51:50+00:00
26	24.181670	121.282539	3362.9	gpx		2021-09-06T23:53:08+00:00
27	24.181616	121.282232	3367.0	gpx		2021-09-06T23:55:45+00:00
28	24.181722	121.282192	3368.0	gpx		2021-09-06T23:56:25+00:00
29	24.181622	121.281826	3371.9	gpx		2021-09-06T23:58:23+00:00
30(comm)	24.181500	121.281700	3374.3	comm	comm	2021-09-07T00:00:11.347276135+00:00
31	24.181509	121.281672	3374.5	gpx		2021-09-07T00:00:21+00:00
